"旧相对路径","新相对路径","操作类型","原因","大小"
"01、玄幻\05、永生\《永生》（校对版全本）.txt","01、玄幻\05、永生\《永生》（校对版全本）.txt","重命名","去除书名内空格/规范化版本标注","10670788"
"01、玄幻\06、遮天\《遮天》（精校版全本）.txt","01、玄幻\06、遮天\《遮天》（精校版全本）.txt","重命名","去除书名内空格/规范化版本标注","13622648"
"01、玄幻\07、圣墟\《圣墟》（校对版全本+番外）.txt","01、玄幻\07、圣墟\《圣墟》（校对版全本+番外）.txt","重命名","去除书名内空格/规范化版本标注","13301643"
"01、玄幻\08、牧 神\《牧神记》（校对版全本）.txt","01、玄幻\08、牧 神\《牧神记》（校对版全本）.txt","重命名","去除书名内空格/规范化版本标注","12479742"
"01、玄幻\09、神 M\《神墓》（校对版全本）.txt","01、玄幻\09、神 M\《神墓》（校对版全本）.txt","重命名","去除书名内空格/规范化版本标注","5932725"
"01、玄幻\10、沧YT\《沧元图》（校对版全本）.txt","01、玄幻\10、沧YT\《沧元图》（校对版全本）.txt","重命名","去除书名内空格/规范化版本标注","4171383"
"01、玄幻\11、盘L\《盘龙》（精校版全本）.txt","01、玄幻\11、盘L\《盘龙》（精校版全本）.txt","重命名","去除书名内空格/规范化版本标注","6188732"
"01、玄幻\12、不科学\《不科学御兽》（精校版全本）.txt","01、玄幻\12、不科学\《不科学御兽》（精校版全本）.txt","重命名","去除书名内空格/规范化版本标注","8861090"
"01、玄幻\13、一世\《一世之尊》（精校版全本）.txt","01、玄幻\13、一世\《一世之尊》（精校版全本）.txt","重命名","去除书名内空格/规范化版本标注","9465871"
"01、玄幻\14、奥术\《奥术神座》（精校版全本+番外）.txt","01、玄幻\14、奥术\《奥术神座》（精校版全本+番外）.txt","重命名","去除书名内空格/规范化版本标注","6688286"
"01、玄幻\15、人道\《人道至尊》（精校版全本）.txt","01、玄幻\15、人道\《人道至尊》（精校版全本）.txt","重命名","去除书名内空格/规范化版本标注","10353671"
"01、玄幻\16、武动\《武动乾坤》（精校版全本）.txt","01、玄幻\16、武动\《武动乾坤》（精校版全本）.txt","重命名","去除书名内空格/规范化版本标注","8254082"
"01、玄幻\17、武道zs\《武道宗师》（校对版全本）.txt","01、玄幻\17、武道zs\《武道宗师》（校对版全本）.txt","重命名","去除书名内空格/规范化版本标注","5425739"
"01、玄幻\18、长夜yh\《长夜余火》（校对版全本）.txt","01、玄幻\18、长夜yh\《长夜余火》（校对版全本）.txt","重命名","去除书名内空格/规范化版本标注","6229566"
"01、玄幻\19、长生j\《长生界》（校对版全本）.txt","01、玄幻\19、长生j\《长生界》（校对版全本）.txt","重命名","去除书名内空格/规范化版本标注","5973425"
"01、玄幻\20、大主z\《大主宰》（校对版全本）.txt","01、玄幻\20、大主z\《大主宰》（校对版全本）.txt","重命名","去除书名内空格/规范化版本标注","10517409"
"01、玄幻\21、元z\《元尊》（校对版全本）.txt","01、玄幻\21、元z\《元尊》（校对版全本）.txt","重命名","去除书名内空格/规范化版本标注","8223110"
"01、玄幻\22、魔兽剑圣\《魔兽剑圣异界纵横》（校对版全本）.txt","01、玄幻\22、魔兽剑圣\《魔兽剑圣异界纵横》（校对版全本）.txt","重命名","去除书名内空格/规范化版本标注","4851170"
"01、玄幻\23、雪 鹰\《雪鹰领主》（校对版全本）.txt","01、玄幻\23、雪 鹰\《雪鹰领主》（校对版全本）.txt","重命名","去除书名内空格/规范化版本标注","7751056"
"01、玄幻\24、星 门\《星门》（校对版全本）.txt","01、玄幻\24、星 门\《星门》（校对版全本）.txt","重命名","去除书名内空格/规范化版本标注","14352246"
"01、玄幻\25、间k\《间客》（精校版全本）.txt","01、玄幻\25、间k\《间客》（精校版全本）.txt","重命名","去除书名内空格/规范化版本标注","7065908"
"01、玄幻\26、将y\《将夜》（校对版全本）.txt","01、玄幻\26、将y\《将夜》（校对版全本）.txt","重命名","去除书名内空格/规范化版本标注","7990694"
"01、玄幻\26、星 河\《星 河 大 帝》（校对版全本）.txt","01、玄幻\26、星 河\《星河大帝》（校对版全本）.txt","重命名","还原混淆书名","7292576"
"01、玄幻\27、择tj\《择天记》（校对版全本）.txt","01、玄幻\27、择tj\《择天记》（校对版全本）.txt","重命名","去除书名内空格/规范化版本标注","6728297"
"01、玄幻\28、大道\《大道朝天》（校对版全本）.txt","01、玄幻\28、大道\《大道朝天》（校对版全本）.txt","重命名","去除书名内空格/规范化版本标注","6575440"
"01、玄幻\29、朱雀\《朱雀记》（校对版全本）.txt","01、玄幻\29、朱雀\《朱雀记》（校对版全本）.txt","重命名","去除书名内空格/规范化版本标注","2942791"
"01、玄幻\30、临渊\《临渊行》（校对版全本）.txt","01、玄幻\30、临渊\《临渊行》（校对版全本）.txt","重命名","去除书名内空格/规范化版本标注","7319259"
"01、玄幻\31、宿命zh\《宿命之环》（校对版全本）.txt","01、玄幻\31、宿命zh\《宿命之环》（校对版全本）.txt","重命名","去除书名内空格/规范化版本标注","8080691"
"01、玄幻\32、神印wz\《神印王座》（校对版全本）.txt","01、玄幻\32、神印wz\《神印王座》（校对版全本）.txt","重命名","去除书名内空格/规范化版本标注","5356933"
"01、玄幻\33、天z变\《天珠变》（校对版全本）.txt","01、玄幻\33、天z变\《天珠变》（校对版全本）.txt","重命名","去除书名内空格/规范化版本标注","5407849"
"01、玄幻\34、雪中hdx\《雪中悍刀行》（校对版全本）.txt","01、玄幻\34、雪中hdx\《雪中悍刀行》（校对版全本）.txt","重命名","去除书名内空格/规范化版本标注","9708029"
"01、玄幻\35、儒道zs\《儒道至圣》（校对版全本）.txt","01、玄幻\35、儒道zs\《儒道至圣》（校对版全本）.txt","重命名","去除书名内空格/规范化版本标注","16510321"
"01、玄幻\36、乱s\《乱 s 书》（校对版全本）.txt","01、玄幻\36、乱s\《乱世书》（校对版全本）.txt","重命名","还原混淆书名","9594271"
"01、玄幻\37、我的徒弟\《我的徒弟都是大fp》（校对版全本）.txt","01、玄幻\37、我的徒弟\《我的徒弟都是大反派》（校对版全本）.txt","重命名","还原混淆书名","10087039"
"01、玄幻\38、恶m法z\《恶m法z》（校对版全本）.txt","01、玄幻\38、恶m法z\《恶魔法则》（校对版全本）.txt","重命名","还原混淆书名","7448380"
"01、玄幻\39、N 侠\《女 侠 且 慢》（校对版全本）.txt","01、玄幻\39、N 侠\《女侠且慢》（校对版全本）.txt","重命名","还原混淆书名","9735646"
"01、玄幻\40、全 职\《全 z 法 s》.txt","01、玄幻\40、全 职\《全职法师》.txt","重命名","还原混淆书名","22582887"
"01、玄幻\41、永 夜\《永 夜 君 王》（校对版全本）.txt","01、玄幻\41、永 夜\《永夜君王》（校对版全本）.txt","重命名","还原混淆书名","10394255"
"01、玄幻\42、保 护\《保 护 我 方 族 长》（校对版）.txt","01、玄幻\42、保 护\《保护我方族长》（校对版）.txt","重命名","还原混淆书名","21398311"
"01、玄幻\43、神 话\《神话纪元，...恒星级巨兽》（校对版）.txt","01、玄幻\43、神 话\《神话纪元，我进化成了恒星级巨兽》（校对版）.txt","重命名","还原混淆书名","11109132"
"01、玄幻\44、渊 T 尊\《渊 天 尊》（校对版）.txt","01、玄幻\44、渊 T 尊\《渊天尊》（校对版）.txt","重命名","还原混淆书名","13970888"
"01、玄幻\45、武 炼\《武 炼 巅 峰》（校对版全本）.txt","01、玄幻\45、武 炼\《武炼巅峰》（校对版全本）.txt","重命名","还原混淆书名","39245931"
"01、玄幻\46、最 强\《万 古 最 强 宗》（校对版全本）.txt","01、玄幻\46、最 强\《万古最强宗》（校对版全本）.txt","重命名","还原混淆书名","10494563"
"01、玄幻\47、伏 天\《伏 天 氏》（校对版全本）.txt","01、玄幻\47、伏 天\《伏天氏》（校对版全本）.txt","重命名","还原混淆书名","18047426"
"01、玄幻\48、最 强 Z X\《史 上 最 强 赘 婿》（校对版全本）.txt","01、玄幻\48、最 强 Z X\《史上最强赘婿》（校对版全本）.txt","重命名","还原混淆书名","9988709"
"01、玄幻\49、顶 级 气 运\《顶级气运，悄悄修炼千年》（校对版全本）.txt","01、玄幻\49、顶 级 气 运\《顶级气运，悄悄修炼千年》（校对版全本）.txt","重命名","去除书名内空格/规范化版本标注","5614236"
"01、玄幻\50、武 极\《武 极 天 下》（校对版全本）.txt","01、玄幻\50、武 极\《武极天下》（校对版全本）.txt","重命名","还原混淆书名","14271838"
"01、玄幻\51、垂 钓\《垂 钓 之 神》（校对版全本）.txt","01、玄幻\51、垂 钓\《垂钓之神》（校对版全本）.txt","重命名","还原混淆书名","21756932"
"01、玄幻\52、异 世\《异 世 邪 君》（校对版全本）.txt","01、玄幻\52、异 世\《异世邪君》（校对版全本）.txt","重命名","还原混淆书名","8821113"
"01、玄幻\53、帝 霸\《帝 霸》（校对版）.txt","01、玄幻\53、帝 霸\《帝霸》（校对版）.txt","重命名","还原混淆书名","68969976"
"01、玄幻\54、我 有\《我 有 一 剑》（校对版）.txt","01、玄幻\54、我 有\《我有一剑》（校对版）.txt","重命名","还原混淆书名","12141237"
"01、玄幻\55、龙 F\《龙 符》（校对版全本）.txt","01、玄幻\55、龙 F\《龙符》（校对版全本）.txt","重命名","还原混淆书名","7545255"
"01、玄幻\57、圣 w\《圣 王》（校对版全本）.txt","01、玄幻\57、圣 w\《圣王》（校对版全本）.txt","重命名","还原混淆书名","10656509"
"01、玄幻\58、剑 道\《剑 道 第 一 仙》（校对版）.txt","01、玄幻\58、剑 道\《剑道第一仙》（校对版）.txt","重命名","还原混淆书名","25274654"
"01、玄幻\59、巫 x x 界\《巫 师 世 界》（精校版全本）.txt","01、玄幻\59、巫 x x 界\《巫师世界》（精校版全本）.txt","重命名","还原混淆书名","4459631"
"01、玄幻\60、永 恒\《永 恒 剑 主》（校对版全本）.txt","01、玄幻\60、永 恒\《永恒剑主》（校对版全本）.txt","重命名","还原混淆书名","6918101"
"01、玄幻\61、召 唤\《召 唤 梦 魇》（校对版全本）.txt","01、玄幻\61、召 唤\《召唤梦魇》（校对版全本）.txt","重命名","还原混淆书名","4570041"
"01、玄幻\62、万 千\《万 千 之 心》（校对版全本）.txt","01、玄幻\62、万 千\《万千之心》（校对版全本）.txt","重命名","还原混淆书名","3602394"
"01、玄幻\63、十 方\《十 方 武 圣》（校对版全本）.txt","01、玄幻\63、十 方\《十方武圣》（校对版全本）.txt","重命名","还原混淆书名","6534456"
"01、玄幻\64、修 行\《我 的 属 性 修 行 人 生》（校对版）.txt","01、玄幻\64、修 行\《我的属性修行人生》（校对版）.txt","重命名","还原混淆书名","5437091"
"01、玄幻\65、太 古\《太 古 神 王》（校对版全本）.txt","01、玄幻\65、太 古\《太古神王》（校对版全本）.txt","重命名","还原混淆书名","13333337"
"01、玄幻\66、绝 世\《绝 世 武 神》（校对版全本）.txt","01、玄幻\66、绝 世\《绝世武神》（校对版全本）.txt","重命名","还原混淆书名","14606063"
"01、玄幻\67、太 平\《太 平 令》（校对版）.txt","01、玄幻\67、太 平\《太平令》（校对版）.txt","重命名","还原混淆书名","10584840"
"01、玄幻\68、图 书 馆\《天道图书馆》（校对版全本）.txt","01、玄幻\68、图 书 馆\《天道图书馆》（校对版全本）.txt","重命名","去除书名内空格/规范化版本标注","13866425"
"01、玄幻\69、牧 龙 师\《牧 龙 师》（校对版全本）.txt","01、玄幻\69、牧 龙 师\《牧龙师》（校对版全本）.txt","重命名","还原混淆书名","7695039"
"01、玄幻\70、明 日\《明 日 之 劫》（校对版全本）.txt","01、玄幻\70、明 日\《明日之劫》（校对版全本）.txt","重命名","还原混淆书名","5792715"
"01、玄幻\71、超 神\《超 级 神 基 因》（校对版全本）.txt","01、玄幻\71、超 神\《超级神基因》（校对版全本）.txt","重命名","还原混淆书名","15526068"
"01、玄幻\72、禁 区\《神 话 禁 区》（校对版全本）.txt","01、玄幻\72、禁 区\《神话禁区》（校对版全本）.txt","重命名","还原混淆书名","4364067"
"01、玄幻\73、天 阿\《天 阿 降 临》（校对版）.txt","01、玄幻\73、天 阿\《天阿降临》（校对版）.txt","重命名","还原混淆书名","11174022"
"01、玄幻\74、逆 天\《逆 天 邪 神》（校对版）.txt","01、玄幻\74、逆 天\《逆天邪神》（校对版）.txt","重命名","还原混淆书名","22989277"
"01、玄幻\75、傲 世\《傲 世 九 重 天》（精校版全本）.txt","01、玄幻\75、傲 世\《傲世九重天》（精校版全本）.txt","重命名","还原混淆书名","17893799"
"01、玄幻\76、凌 天\《凌 天 传 说》（校对版全本）.txt","01、玄幻\76、凌 天\《凌天传说》（校对版全本）.txt","重命名","还原混淆书名","4984079"
"01、玄幻\77、至 尊\《我 是 至 尊》（校对版全本）.txt","01、玄幻\77、至 尊\《我是至尊》（校对版全本）.txt","重命名","还原混淆书名","9907038"
"01、玄幻\78、苍 穹\《天 域 苍 穹》（校对版全本）.txt","01、玄幻\78、苍 穹\《天域苍穹》（校对版全本）.txt","重命名","还原混淆书名","10823358"
"01、玄幻\79、左 道\《御 道 倾 天》（校对版全本）.txt","01、玄幻\79、左 道\《御道倾天》（校对版全本）.txt","重命名","还原混淆书名","10483685"
"01、玄幻\80、小 师 叔\《有 请 小 师 叔》（校对版全本）.txt","01、玄幻\80、小 师 叔\《有请小师叔》（校对版全本）.txt","重命名","还原混淆书名","3600299"
"01、玄幻\81、原 始\《原 始 战 记》（校对版全本）.txt","01、玄幻\81、原 始\《原始战记》（校对版全本）.txt","重命名","还原混淆书名","5399038"
"01、玄幻\82、罪 恶\《罪 恶 之 城》（校对版全本）.txt","01、玄幻\82、罪 恶\《罪恶之城》（校对版全本）.txt","重命名","还原混淆书名","8876595"
"01、玄幻\83、史 上\《史 上 最 强 师 兄》（校对版全本）.txt","01、玄幻\83、史 上\《史上最强师兄》（校对版全本）.txt","重命名","还原混淆书名","8445912"
"01、玄幻\84、别 秀\《公 子 别 秀》（校对版全本）.txt","01、玄幻\84、别 秀\《公子别秀》（校对版全本）.txt","重命名","还原混淆书名","3260160"
"01、玄幻\85、史 上\《史 上 第 一 祖 师 爷》（校对版）.txt","01、玄幻\85、史 上\《史上第一祖师爷》（校对版）.txt","重命名","还原混淆书名","9790407"
"01、玄幻\86、魔 皇\《我 夺 舍 了 魔 皇》（校对版）.txt","01、玄幻\86、魔 皇\《我夺舍了魔皇》（校对版）.txt","重命名","还原混淆书名","4864191"
"01、玄幻\87、天 师\《从 天 师 府 开 始》（校对版）.txt","01、玄幻\87、天 师\《从天师府开始》（校对版）.txt","重命名","还原混淆书名","11681411"
"01、玄幻\88、万 古\《万古神帝》（校对版全本）.epub","01、玄幻\88、万 古\《万古神帝》（校对版全本）.epub","重命名","去除书名内空格/规范化版本标注","23953801"
"01、玄幻\89、金 丹\《金丹是恒星，你管这叫修仙？》（校对版）.txt","01、玄幻\89、金 丹\《金丹是恒星，你管这叫修仙？》（校对版）.txt","重命名","去除书名内空格/规范化版本标注","9040608"
"01、玄幻\90、乌 托 邦\《故 障 乌 托 邦》（校对版）.txt","01、玄幻\90、乌 托 邦\《故障乌托邦》（校对版）.txt","重命名","还原混淆书名","4317664"
"01、玄幻\91、人H纪\《人 皇 纪》（校对版全本）.txt","01、玄幻\91、人H纪\《人皇纪》（校对版全本）.txt","重命名","还原混淆书名","16492110"
"01、玄幻\92、魔 神\《魔 神 乐 园》（校对版全本）.txt","01、玄幻\92、魔 神\《魔神乐园》（校对版全本）.txt","重命名","还原混淆书名","5543010"
"01、玄幻\93、普 罗\《普 罗 之 主》（精校版）.txt","01、玄幻\93、普 罗\《普罗之主》（精校版）.txt","重命名","还原混淆书名","14670799"
"02、仙侠\01、FRXXZ\《凡人修仙之仙界篇》（校对版全本）.txt","02、仙侠\01、FRXXZ\《凡人修仙之仙界篇》（校对版全本）.txt","重命名","去除书名内空格/规范化版本标注","9331772"
"02、仙侠\01、FRXXZ\《凡人修仙传》（校对版全本+番外）.txt","02、仙侠\01、FRXXZ\《凡人修仙传》（校对版全本+番外）.txt","重命名","去除书名内空格/规范化版本标注","15224548"
"02、仙侠\02、大奉打更人\《大奉打更人》（校对版）.txt","02、仙侠\02、大奉打更人\《大奉打更人》（校对版）.txt","重命名","去除书名内空格/规范化版本标注","8380410"
"02、仙侠\03、我师兄实在太稳健了\《我师兄实在太稳健了》（校对版全本）.txt","02、仙侠\03、我师兄实在太稳健了\《我师兄实在太稳健了》（校对版全本）.txt","重命名","去除书名内空格/规范化版本标注","8047351"
"02、仙侠\04、仙逆\《仙逆》（校对版全本）.txt","02、仙侠\04、仙逆\《仙逆》（校对版全本）.txt","重命名","去除书名内空格/规范化版本标注","13674546"
"02、仙侠\05、一念永恒\《一念永恒》（校对版全本）.txt","02、仙侠\05、一念永恒\《一念永恒》（校对版全本）.txt","重命名","去除书名内空格/规范化版本标注","7774272"
"02、仙侠\06、神秘复苏\《神秘复苏》（精校版全本）.txt","02、仙侠\06、神秘复苏\《神秘复苏》（精校版全本）.txt","重命名","去除书名内空格/规范化版本标注","11602098"
"02、仙侠\07、飞剑\《飞剑问道》（校对版全本）.txt","02、仙侠\07、飞剑\《飞剑问道》（校对版全本）.txt","重命名","去除书名内空格/规范化版本标注","4358664"
"02、仙侠\08、玄界zm\《玄界之门》（精校版全本）.txt","02、仙侠\08、玄界zm\《玄界之门》（精校版全本）.txt","重命名","去除书名内空格/规范化版本标注","7024960"
"02、仙侠\09、魔tj\《魔天记》（精校版全本）.txt","02、仙侠\09、魔tj\《魔天记》（精校版全本）.txt","重命名","去除书名内空格/规范化版本标注","10455267"
"02、仙侠\10、灭世TL\《灭运图录》（精校版全本）.txt","02、仙侠\10、灭世TL\《灭运图录》（精校版全本）.txt","重命名","去除书名内空格/规范化版本标注","5966571"
"02、仙侠\11、q魔\《求魔》（校对版全本）.txt","02、仙侠\11、q魔\《求魔》（校对版全本）.txt","重命名","去除书名内空格/规范化版本标注","9519341"
"02、仙侠\12、我欲ft\《我欲封天》（校对版全本）.txt","02、仙侠\12、我欲ft\《我欲封天》（校对版全本）.txt","重命名","去除书名内空格/规范化版本标注","10384405"
"02、仙侠\13、三寸rj\《三寸人间》（校对版全本）.txt","02、仙侠\13、三寸rj\《三寸人间》（校对版全本）.txt","重命名","去除书名内空格/规范化版本标注","8003839"
"02、仙侠\14、莽荒j\《莽荒纪》（校对版全本）.txt","02、仙侠\14、莽荒j\《莽荒纪》（校对版全本）.txt","重命名","去除书名内空格/规范化版本标注","9078724"
"02、仙侠\15、星辰\《星辰变》（校对版全本）.txt","02、仙侠\15、星辰\《星辰变》（校对版全本）.txt","重命名","去除书名内空格/规范化版本标注","5548542"
